time(s),colorTemp,lux,R,G,B
12.80370044708252,27657,79,848,309,256,306
12.965378999710083,33290,75,842,306,252,305
13.130282402038574,35615,74,837,302,251,305
13.281234979629517,33727,75,834,303,251,304
13.449336528778076,34028,76,848,307,255,309
13.599613428115845,33896,72,838,308,250,303
13.761101484298706,34730,69,817,303,243,295
13.929040431976318,34730,69,816,303,243,295
14.078118801116943,35166,68,814,302,242,294
14.229089260101318,34307,69,820,304,244,296
14.404082298278809,35615,68,810,301,241,293
14.56359076499939,34307,69,821,304,244,296
14.715883731842041,33152,71,828,306,247,299
14.879297018051147,32444,70,818,303,244,295
15.02568531036377,30051,74,839,311,251,302
15.192111492156982,26351,76,848,316,254,303
15.354415655136108,26126,77,851,317,255,304
15.511073350906372,28233,75,843,313,252,302
15.665859699249268,27177,75,837,311,251,300
15.81410026550293,30360,73,836,310,250,301
15.988690376281738,29170,74,830,308,249,299
16.13333821296692,30628,72,835,310,249,300
16.297935724258423,27680,74,831,309,249,298
16.460175275802612,29117,73,832,309,249,299
16.610398530960083,29409,73,829,308,248,298
16.777869939804077,28833,74,834,310,250,300
16.92699956893921,27680,74,831,309,249,298
17.094229221343994,28833,74,835,310,250,300
17.258281230926514,27623,74,832,310,249,298
17.406129598617554,27177,75,836,311,251,300
17.56558084487915,28833,74,836,310,250,300
17.724138975143433,27425,75,834,310,250,299
17.88208556175232,26757,76,843,312,253,302
18.048396587371826,27235,75,836,310,251,300
18.202380895614624,26582,76,846,315,253,302
18.36052179336548,26522,75,845,316,253,302
18.51572895050049,26351,76,848,316,254,303
18.67632269859314,27061,74,839,313,251,300
18.831121683120728,30067,72,823,305,246,296
18.999313592910767,32124,71,819,303,245,296
19.159093379974365,34763,69,815,302,243,295
19.318472146987915,32487,71,817,302,244,295
19.462091207504272,32124,71,819,303,245,296
19.627875566482544,36482,66,808,302,239,291
19.784863710403442,32297,67,806,302,239,289
19.95339822769165,34732,66,803,301,238,289
20.095595121383667,32733,67,801,300,238,288
20.268779277801514,32733,67,802,300,238,288
20.413620948791504,33041,68,816,305,242,293
20.581438302993774,28891,71,820,307,244,293
20.730010986328125,26217,72,832,314,248,296
20.900013208389282,24468,74,839,317,250,297
21.050267457962036,26217,72,833,314,248,296
21.210991144180298,24201,74,844,319,251,298
21.379346132278442,23760,76,851,320,254,301
21.533122777938843,22879,76,847,319,253,299
21.69299840927124,22480,77,853,322,255,301
21.84562635421753,22480,77,853,322,255,301
22.002830982208252,23268,77,858,324,256,303
22.169962644577026,22164,78,859,324,257,303
22.32491970062256,22480,77,855,322,255,301
22.481993198394775,22480,77,854,322,255,301
22.629136323928833,22413,77,855,323,255,301
22.800994873046875,22078,79,862,324,258,304
22.948942184448242,23268,77,859,324,256,303
23.116146326065063,22413,77,855,323,255,301
23.271388292312622,22320,78,857,323,256,302
23.4331693649292,22320,78,856,323,256,302
23.594274759292603,22164,78,858,324,257,303
23.7513644695282,22231,79,858,323,257,303
23.911870002746582,22231,79,860,323,257,303
24.067180156707764,22413,77,854,323,255,301
24.213786840438843,23561,75,853,323,254,301
24.382230758666992,23512,76,854,322,255,302
24.53590703010559,24005,75,846,320,252,299
24.696958303451538,26045,73,836,314,249,297
24.86471152305603,28096,72,827,309,247,296
25.02413034439087,30608,70,818,305,244,294
25.177385568618774,31289,69,812,303,242,292
25.324148893356323,33164,69,812,302,242,293
25.499755382537842,31336,70,812,302,242,292
25.64450764656067,31549,68,812,304,241,291
25.81532096862793,29545,66,798,303,236,284
25.96288561820984,30290,65,791,300,234,282
26.128999710083008,30290,65,791,300,234,282
26.28890585899353,29545,66,797,303,236,284
26.44977045059204,31352,65,798,303,236,285
26.594456434249878,29215,66,802,304,237,285
26.76257872581482,28223,68,811,308,240,288
26.921415090560913,25889,69,820,312,243,290
27.079954147338867,23626,72,833,318,247,293
27.24412751197815,22341,73,835,319,248,293
27.396303176879883,21778,74,844,323,251,296
27.54531717300415,22009,74,840,321,250,295
27.710371255874634,22080,74,839,320,250,295
27.878901481628418,22080,74,841,320,250,295
28.025888919830322,21849,74,844,322,251,296
28.17928671836853,22708,74,848,323,252,298
28.35109567642212,21849,74,844,322,251,296
28.49431276321411,21920,75,842,321,251,296
28.663277626037598,22882,74,845,322,251,297
28.82464909553528,23061,73,842,321,250,296
28.969468116760254,21920,75,843,321,251,296
29.141390800476074,22537,75,851,324,253,299
29.29574155807495,21849,74,844,322,251,296
29.450911283493042,21920,75,844,321,251,296
29.620299339294434,21920,75,841,321,251,296
29.76569151878357,21610,76,850,323,253,298
29.932466983795166,21693,75,847,323,252,297
30.084008932113647,23131,74,841,320,250,296
30.244327545166016,21990,75,842,320,251,296
30.40132474899292,22952,74,844,321,251,297
30.557007789611816,21920,75,844,321,251,296
30.71722149848938,21763,75,846,322,252,297
30.876930713653564,22777,75,847,322,252,298
31.048782110214233,21920,75,842,321,251,296
31.197497129440308,21920,75,843,321,251,296
31.361424684524536,22080,74,841,320,250,295
31.515040397644043,21920,75,843,321,251,296
31.680420875549316,21920,75,843,321,251,296
31.836801528930664,22009,74,841,321,250,295
31.986037969589233,23245,73,838,320,249,295
32.14483451843262,23573,73,833,317,248,294
32.313958168029785,25716,70,822,312,244,291
32.4624445438385,30037,68,809,305,240,289
32.62758803367615,31135,67,799,301,237,286
32.77494764328003,30777,67,801,302,238,287
32.949766397476196,32599,66,804,303,238,288
33.10970115661621,30777,67,802,302,238,287
33.25403094291687,29073,68,800,302,238,286
33.42168045043945,31135,67,799,301,237,286
33.580482482910156,30777,67,801,302,238,287
33.740429639816284,31186,67,799,300,237,286
33.892645597457886,31554,66,795,299,236,285
34.04818344116211,33939,65,792,298,235,285
34.21963334083557,33509,66,796,299,236,286
34.37225103378296,32326,65,790,297,234,283
34.53027558326721,33493,63,782,296,231,280
34.682350397109985,31851,63,778,295,230,278
34.84336590766907,33450,63,782,297,231,280
34.99852752685547,30595,64,790,300,233,281
35.158082723617554,29768,65,797,304,235,283
35.31466579437256,27769,66,799,305,236,283
35.47837281227112,26851,67,808,309,239,286
35.63340902328491,25194,68,812,310,240,286
35.792433738708496,25194,68,811,310,240,286
35.94838237762451,25052,68,813,312,240,286
36.11224007606506,23772,68,811,312,240,285
36.27628970146179,22470,71,830,320,246,291
36.42473101615906,21743,71,824,318,244,288
36.595484018325806,22650,70,828,319,245,290
36.753596782684326,21818,71,823,317,244,288
