time(s),colorTemp,lux,R,G,B
8.106229543685913,17560,83,751,279,236,271
8.266177892684937,16869,84,753,280,237,271
8.422337770462036,17478,84,753,280,237,272
8.576917171478271,17576,82,749,279,235,270
8.740477323532104,17661,82,746,278,234,269
8.896602630615234,17594,81,746,279,234,269
9.053948402404785,16952,83,747,279,235,269
9.216790199279785,16952,83,747,279,235,269
9.375948429107666,16952,83,746,279,235,269
9.52649736404419,16943,84,749,279,236,270
9.691260814666748,17028,82,745,278,234,268
9.847399473190308,17594,81,745,279,234,269
9.993138790130615,22347,79,775,286,240,282
10.162023544311523,23720,80,791,289,244,288
10.323775291442871,25994,77,793,290,243,289
10.478560447692871,25488,80,801,291,246,292
10.641514778137207,27055,77,798,290,244,291
10.80191159248352,27055,77,797,290,244,291
10.961094617843628,26826,78,801,291,245,292
11.116973161697388,26999,77,798,291,244,291
11.268571615219116,25488,80,801,291,246,292
11.434998989105225,27055,77,797,290,244,291
11.588582038879395,25488,80,801,291,246,292
11.751748085021973,26999,77,799,291,244,291
11.911716938018799,25633,79,799,291,245,291
12.067431926727295,26826,78,801,291,245,292
12.226588726043701,26999,77,798,291,244,291
12.381863117218018,25633,79,800,291,245,291
12.546041250228882,27055,77,797,290,244,291
12.702444553375244,26999,77,799,291,244,291
12.85386347770691,27055,77,798,290,244,291
13.017048597335815,26999,77,798,291,244,291
13.177550315856934,25633,79,799,291,245,291
13.336538076400757,27055,77,797,290,244,291
13.496835231781006,25633,79,799,291,245,291
13.652667045593262,26999,77,798,291,244,291
13.812205076217651,26999,77,798,291,244,291
13.971639156341553,26826,78,799,291,245,292
14.112919092178345,26999,77,799,291,244,291
14.283974647521973,26826,78,800,291,245,292
14.447279691696167,26826,78,800,291,245,292
14.606539249420166,26826,78,801,291,245,292
14.762246131896973,28110,77,801,291,245,293
14.922296524047852,26826,78,801,291,245,292
15.081961870193481,28110,77,802,291,245,293
15.237940788269043,28057,77,802,292,245,293
15.39744782447815,26601,79,802,292,246,293
15.549537420272827,28057,77,802,292,245,293
15.712925910949707,26601,79,803,292,246,293
15.872682571411133,26601,79,802,292,246,293
16.024629592895508,26601,79,803,292,246,293
16.19152307510376,26601,79,802,292,246,293
16.340088605880737,28057,77,802,292,245,293
16.506947994232178,26601,79,802,292,246,293
16.65985679626465,26601,79,802,292,246,293
16.817919492721558,26601,79,802,292,246,293
16.982158422470093,26601,79,802,292,246,293
17.14158821105957,26601,79,803,292,246,293
17.29802680015564,26601,79,802,292,246,293
17.457798719406128,26601,79,802,292,246,293
17.617365837097168,26601,79,802,292,246,293
17.769577503204346,26601,79,803,292,246,293
17.932755947113037,26601,79,802,292,246,293
18.09257960319519,26601,79,803,292,246,293
18.25086760520935,26601,79,803,292,246,293
18.407567977905273,26601,79,803,292,246,293
18.567604541778564,26601,79,803,292,246,293
18.724099159240723,26601,79,802,292,246,293
18.879346132278442,26601,79,803,292,246,293
19.0427143573761,26601,79,803,292,246,293
19.202473878860474,26601,79,803,292,246,293
19.36176085472107,26601,79,803,292,246,293
19.51318860054016,26601,79,803,292,246,293
19.677478551864624,26601,79,804,292,246,293
19.83661389350891,26601,79,804,292,246,293
19.979814052581787,27862,78,804,292,246,294
20.138482093811035,26601,79,803,292,246,293
20.311854124069214,26601,79,804,292,246,293
20.467461824417114,26601,79,803,292,246,293
20.627943515777588,27862,78,804,292,246,294
20.7876193523407,26601,79,803,292,246,293
20.94280195236206,26601,79,804,292,246,293
21.102174043655396,27862,78,804,292,246,294
21.26257586479187,27862,78,804,292,246,294
21.422335147857666,27862,78,804,292,246,294
21.577868461608887,26601,79,804,292,246,293
21.73621368408203,27862,78,805,292,246,294
21.897271156311035,27862,78,804,292,246,294
22.05337405204773,27862,78,804,292,246,294
22.207027435302734,26601,79,804,292,246,293
22.372509956359863,27862,78,805,292,246,294
22.52593731880188,27862,78,804,292,246,294
22.68431305885315,27862,78,805,292,246,294
22.845430850982666,26601,79,804,292,246,293
23.007266998291016,27862,78,804,292,246,294
23.163304567337036,27862,78,804,292,246,294
23.322068452835083,27862,78,804,292,246,294
23.482380390167236,27862,78,804,292,246,294
23.638395071029663,27862,78,805,292,246,294
23.797319173812866,26601,79,803,292,246,293
23.957068920135498,27862,78,805,292,246,294
24.113209009170532,26601,79,803,292,246,293
24.272459030151367,26601,79,804,292,246,293
24.432724714279175,26601,79,803,292,246,293
24.591901302337646,26601,79,804,292,246,293
24.748263835906982,26601,79,803,292,246,293
24.908011198043823,26601,79,804,292,246,293
25.05521821975708,26601,79,804,292,246,293
25.22353458404541,26601,79,804,292,246,293
25.37963581085205,26601,79,804,292,246,293
