time(s),colorTemp,lux,R,G,B
23.53369426727295,22894,46,671,274,192,229
23.689619302749634,22654,45,672,276,192,229
23.848745346069336,24245,44,676,279,192,230
24.0087890625,22868,42,686,288,193,231
24.16420578956604,22868,42,687,288,193,231
24.320966005325317,22868,42,686,288,193,231
24.483297109603882,22868,42,686,288,193,231
24.63257384300232,22868,42,686,288,193,231
24.791512489318848,23135,42,685,286,193,231
24.959044456481934,22868,42,687,288,193,231
25.118781805038452,22868,42,686,288,193,231
25.268044233322144,23003,42,685,287,193,231
25.430901765823364,21213,43,684,286,193,230
25.59328293800354,21213,43,685,286,193,230
25.74991464614868,23003,42,686,287,193,231
25.90958595275879,21213,43,684,286,193,230
26.068461894989014,23003,42,685,287,193,231
26.21990466117859,23135,42,684,286,193,231
26.384188890457153,21077,43,685,287,193,230
26.537283182144165,23003,42,686,287,193,231
26.703075885772705,21077,43,685,287,193,230
26.84803605079651,21077,43,685,287,193,230
27.010833978652954,21077,43,686,287,193,230
27.178855419158936,23003,42,686,287,193,231
27.331264972686768,21077,43,686,287,193,230
27.493666887283325,21077,43,685,287,193,230
27.65353751182556,21077,43,686,287,193,230
27.81011128425598,21077,43,685,287,193,230
27.966212034225464,21077,43,686,287,193,230
28.12933111190796,21077,43,685,287,193,230
28.28828191757202,20939,42,686,288,193,230
28.440241813659668,21077,43,685,287,193,230
28.604416370391846,21077,43,685,287,193,230
28.764137983322144,21077,43,685,287,193,230
28.920005083084106,21077,43,685,287,193,230
29.078751802444458,20939,42,686,288,193,230
29.238754510879517,20939,42,686,288,193,230
29.395195960998535,20939,42,686,288,193,230
29.554761171340942,20939,42,686,288,193,230
29.709649801254272,20939,42,686,288,193,230
29.866647720336914,20939,42,686,288,193,230
30.02659583091736,21077,43,685,287,193,230
30.189616203308105,21077,43,685,287,193,230
